,result
7062,"['NMBP1-G800-05', 'Follow installation', 'instructions carefully to assure', 'proper operation of your livewell', 'Pump.', 'Installation Instruction', 'hole through the transom well', 'below the water line.Caulk the', 'LIVEWELLPUMP', 'threaded Shaft on the pump and', 'insert the threaded shaft through', 'the hole.NOTE:Silicone sealants', 'are not recommended.lf the', 'transom has a severe angle use', 'transom shims to level', 'pump.Tighten the nut and saw off', 'the excess threaded shaft.Make', 'certain the pump outletis pointing straight up before tightening shaft.', 'Electricalinstallation', 'To wire the pump,use 18-gauge wire.Connect the black wire to negative-or', 'ground.The brown wire connects to positive(+).Install a fuse somewhere between', 'the pump and the battery(Fuse assemble between the positive(+)of the power', 'and the positive of the pump),if one is not present.Keep all wire connection', 'above the highest possible water level.Seal connections with a marine sealant to', 'prevent corrosion.The positive wire may connect with a panel switch or a Float', 'Switch.', 'Connect a 3/4reinforced hose from the pump discharge to the livewell or spray', 'bar.', 'The unit is now ready for operation.']"
7063,"['output', '87W', 'Qintpw', 'input', '100W', 'Power Delivery up to 100w', 'PD USB-C pass-through charging port can fast charge', 'for Macbook Pro and other USB-C ports devices']"
7064,"['purvita', 'ORGANIC-BIOLOGIQUE', 'ELDERBERRY', 'CONCENTRATED EXTRACT', 'EXTRAIT', 'SUREAU', 'CONCENTRE', 'Antioxidant', 'Antioxydant', 'No added sugar', 'Sans sucre ajoute', 'Not diluted', 'Non dilue', 'No alcohol', 'Sans alcool', 'Gluten free', '100%', 'Sans Gluten', 'Vegan', 'Vegetalien', 'PURE', '50doses', 'PUR', '250ml8.450z']"
7065,"['Size', '10cm/3.93in', '30.5cm/12.0in']"
7066,"['100', 'Enriching Lives', 'Pressure that brings', 'Happiness in Your Home', 'K-Booster', 'Specifications', 'Head Range', 'Upto28m', 'Voltage Range', '180-240V', 'Tank Size', '2litres', 'KIRLOSKAR BROTHERS LIMITED', 'A Kirfoskar Group Company', '1850']"
7067,"['Silver 925', 'Length:20+5cm', 'frlyn', '15 mm', '4mm', '31mm', 'CZ', '2.52.5mm', 'Series', 'Bracelet', 'Weight', '8.2 g (About)', 'Length', '20+5 cm', 'The size of the product is meosured manuolly.There may be some errors.', 'Pleose take the actual product os the standard']"
7068,"['145mm', '175mm', '115mm']"
7069,"['43.7cm', '34.3cm', '2.3cm']"
7070,"['Max Load: 330lbs', 'Net Weight: 8lbs', 'Capacity: 55L', '15', '38cm', '-15""/38cm', '15""/38cm']"
7071,"['Big Push Button Design', '66mm/2.6""', 'One of gaskets is', 'on the sink', '18mm/0.71""', 'Available sink hole diameter: 40MM-50MM(1.6IN-1.97IN)', 'One of gaskets is at the', 'bottom of sink']"
7072,"['Stone Blue', '7.91""', '3.03D', '16oz.', '3.03""']"
7073,"['360', '400', '6000K', '360', 'Non', '220-240V', 'Lumen', 'Daylight White', 'Beam Angle', 'Dimmable', '50Hz']"
7074,"['Flavor Profile:Light,grass like flavor with', 'aroma with a slightly minty profile.', 'palmbeach', 'HERBALS', 'water over teabag.Steep for 5-15 mins,', 'No Preservatives', 'depending upon desired strength.Use two tea', 'No Artificial Flavors', 'bags for a stronger tea.Sweeten to taste with', 'natural sweeteners such as honey,agave,or', 'No Fillers', 'stevia.For iced teaSimply pour over ice after', 'steeping and adding sweetener,', 'Pure Herbal Tea Series', 'a naturally healthy lifestyle!', '00000', 'lly if you are pregnant,', 'Dreastfe', 'feeding.or have any health', 'edicinal Herbs Inc', 'or prevent any disease.']"
7075,"['0.8', '120 kg Load', 'mm', 'Stable triangular frame with a 33%', 'thickened tube wall ensures high strength']"
7076,"['35.5cm/14in', 'Lampenschirm aus Leinenstoff', '58cm/62.2in', 'E27 Lampenfassung', '39cm/15.4in', 'Kettenschalter', '26cm/10.2in', 'Europaischer Stecker']"
7077,"['CANADIANLINEN.ca', 'BED & BATH HOME STORE', 'Economy Everest', 'Cotton Hand Towels', 'Our Premium', 'Everest Cotton', 'Hand Towels is', '16""x 27""', 'inches with', '450 GSM', 'thickness']"
7078,"['60W', 'Charge Rapide', '60\\', 'UGREEN 60W', 'Autre18W', '70%', '34%', '30 Min de Charge', '30 Min de Charge']"
7079,"['Only 265G', 'High-density PC', 'In mold EPS foam using high-density PC', 'shell has impact resistance,safety and', 'lightweight.ImportedPC shellwith ad', 'vanced technologywill definitely im', 'prove safetyperformance', 'Streamlined shell and sunvisor can', 'effectivelyreduce windresistanceduring', 'riding.', 'Removable sun visor', 'When riding outdoors,the sun visor can shield the', 'flicking sunlight from the dark and bright in the', 'mountains and forests, maintain the consistency', 'of the line of sight, and enable you to focus on the', 'road conditions.The visor ofthe helmetcan also', 'block low branches or keep out rain']"
7080,"['220>240 V', 'NON COMPATIBLE', 'VARIATEUR', '4', 'W', '35', 'WATTS', '12500', 'E27', 'LUMIERE', 'FROIDE', '15000 h', 'DEBFLEX']"
7081,"['Fruidles', 'Nutrition Facts', 'R', 'Serving size', '1 Piece (17g)', 'Amount Per Serving', '60', 'Calories', 'INGREDIENTES:Sugar, Glucose', 'Syrup,Water, Citric Acid,Artificial', '%Daily Value*', 'Total Fat Og', '0%', 'Flavor (Mixed Fruit Flavor),Artifi-', 'Saturated Fat Og', '0%', 'cialColorsFD&C Red40,FD&C', 'Trans Fat Og', 'Yellow5,FD&CYellow6,FD&C', 'Cholesterol Omg', '0%', 'Blue 1),Titanium Dioxide', 'Sodium Omg', '0%', 'Total Carbohydrate 16g', '6%', 'Dietary Fiber 0g', '0%', 'Total Sugars 10g', 'Includes 10g Added Sugars', '20%', 'Protein Og', '0%', 'Vitamin D Omcg', '0%', 'Calcium Omg', '0%', 'Country of Origin.', 'Iron Omg', '0%', 'Potassium Omg', '0%', 'USA.', 'Manufactured By:', 'The %Daily Value DV tells you how much a nutrient in a', 'serving of food contributes to a daily diet.2,000 calories a', 'Fruidles,Oakland Lakes,FL33319 USA.', 'day is used for general nutrition advice']"
7082,"['STEP1', 'STEP2', 'Take out the tiled box', 'Fold along the crease', 'STEP3', 'STEP4', 'Insert 1into2', 'Finish after inserting the card slot']"
7083,"['RD', 'All', 'Shake', 'Well', 'Natural', 'MERIC', 'Garlic Juice', 'NET5FL.OZ.148 mL)']"
7084,"['Height:10cm', '(3.93inch)', '45cm/17.71inch', '45cm/17.71inch', 'Voltage', '110~240V', 'Wattage', '35W', 'Lumen', '2800LM', 'Matermal', 'Acryl, Holz', 'Dimmable', 'NO', 'CCT', '3000K']"
7085,"['THICKER THAN AVERAGE', '2IN THICKER FOR DURABILITY', '0.5""', '20', 'Ibs', '2.8""', '(7CM)', '2.5""', '9""(23CM)', '17.7""(45CM)']"
7086,"['20W USB C Power Delivery Charger', '3X Super Speed', '54%Charged', '20W', '3X']"
7087,"['60L', 'CAPACITYFOR', 'HASSLE-FREE', 'TRAVELLING', '6 FT', '66.CM', 'ARISTOCRAT', '44CM', '-27CM-']"
7088,"['BORBONE', 'BORBONE', 'BORBONE', 'BORBONE', 'BORBONE', 'EUNONS', 'BORBONE', 'ELUINONE', 'SENZA', 'glutine', 'TEAL LIMONE', 'Soubile', 'COMPATIBILE CON LE MACCHINE']"
7089,"['GEFORCE', 'RTX', 'nVIDIA', '3060', '140W MGP', 'NITRO']"
7090,"['Adhesive', 'SMART', 'DESIGN', 'Decorative', 'Shelf Liner', '20 ft', 'covering fe', 'durabl']"
7091,['WEIGHED IN AT 5OO POUNDS.']
7092,"['Maintenance', 'AGM', 'Ordinary', 'Cnarcing', 'Lithi', 'Briidea', '10.0V', 'Ordinar', 'Inverten', 'O.0A', 'Cumulative', 'Sump Pump', '1000%', 'Backup System', 'Alarm', 'Charger Indicator', 'Utlity Power Switch', 'Multiple protections make products safer and more durable', ' Overheat Protection', ' Short Circuit Protection', ' Low Voltage Protection', ' Overcharge Protection']"
7093,"['4.5CM', '27cm']"
7094,"['5.5cm', 'Silicone', '16cn', 'Non-Toxic', 'Food-Grade', '69', '16.90OZ', 'Easy Slip-on&off', '(500 mL)', 'BPA', '16.9 FL OZ, 500 ML', 'FREE']"
7095,"['Bio Vollkornbrot aus 43% Roggen, 13% Dinkel und 4% Grunkern', ""Pain complet bio avec 43% de seigle, 13% d'epeautre et 4% d'epeautre vert"", 'Zutaten:Getreide* Roggenvollkornschrot*Dinkel-', 'Nach dem Offnen kuhl und trocken', 'schrot*,Roggenvollkornmehl*,Grunkernschrot*),Wasser', 'lagern.', 'Meersalz,Hefe*', '*aus biologischer Landwirtschaft', 'Ungeoffnet mindestens haltbar bis:', 'Ohne Konservierungsstoffe (It. EG-Oko-Verordnung)', 'siehe Vorderseite', 'Kann Spuren von Soja, Milch, Mandel, Nussen und Sesam', 'Conserver au frais et dans un en-', 'droit sec apres ouverture.', 'enthalten.', ' Ingredients:Cereales* (seigle complet egruge*,epeautre', 'A consommer de preference avant', 'egruge*,farine de seigle complete*,epeautre vert egruge*)', 'le:voir devant du paquet', 'eau, sel marin, levure*', ""*de I'agriculture biologique"", ""Sans conservateurs (selon la reglementation bio de I'UE)"", 'e500g', 'Peut contenir des traces de soja, lait, amande, fruits a coque et', 'sesame.']"
7096,"['Dream', 'Express', 'VORTEILE', 'verwendbar', 'als kuschelige', 'Decke', 'Schlafsack GroBe', '130+30x60cm', 'Hochwertiger', 'ReiBverschluss', 'fur Langlebigkeit', 'samtig weiches', 'Baumwollfutter', '150cm', 'ideale fur Kinder', '110 cm', 'von 110 bis 150cm', 'KorpergroBe', 'outdoorer']"
7097,"['FOXCONN', 'FOXCONN', 'G3A-CPU', 'G3A-GPU', 'NFB74A05H-001', 'NFB76A05H-001', 'FSFA17M', 'FSFA17M', 'MADE IN CHINA', 'MADE IN CHINA', 'DC5V0.50A', 'DC5V0.50A', '7474G3AG', '7475G3AG', 'NEB76A05H00', '5VDC 0.50A', 'MADE N CHINAICO', 'Powerful power input work, multi-blade continuous work']"
7098,"['8.66""', '5.9""', '2.75""', '5.11""']"
7099,"['Bed Size: 30""x20""x4\'', 'Fits Crate Size:31""x21""x35', 'Creat not inclouded with purchase']"
7100,"['Contains the bottom plate support', 'love pet stay more comfortable', 'guoye', 'Only 416g, light and no burden']"
7101,"['MANUFACTURED BY', 'Issal', 'Teaxpress Private Limited.', 'Plot No. 319/9B, Baneshwar More,.', 'Lic. No.10016031001967', 'Eastern Bypass Road, Siliguri,', 'Follow us on:', 'West Bengal, India, PIN 734 008', 'f Teabox', 'USDA', 'ORGANIC', '@teabox.tea', 'Jaivik Bhara', '/SC/1609/002', 'NPOP/NAB/0010', 'Certified Organic by CU Inspections India Pvt.Ltd.CU-848505', 'Join our Tea Community', '@TeaboxTea', 'Product is processed according to NPOP standard of India and UsDA NOP', 'use #myTeabox', 'www.controlunion.com', 'NET QUANTITY: 50 g I 1.8 oz', 'For feedback/complaints:', 'c +91-9733061444', 'NGREDIENTS:', 'help@teabox.com', 'Chamomile flower', 'Store in a cool, dry place & away', 'from products with strong odor. The.', 'taste of teas may vary with each.', 'harvest or with the nature &', 'characteristics of a blend.', 'MRP', '(incl. of all taxes)', 'BATCH NO.:', '0723172771485', 'MFG.DATE:', 'BEST BEFORE 18MONTHS FROM MFG.DATE', 'www.teabox.com']"
7102,"['1.57in(4CM)', '1.96in(5CM)', '15.8in(40cm)']"
7103,"['Dimensione del prodotto', '32mm', '33mm']"
7104,"['RGBLED', 'MODE', '23 Dynamic Mode', 'DEMO', 'Speed of Dynamic Mode-9 Level', 'SPEED', 'Brightness of Static Mode-8 Level', 'Long press-ON/OFF', 'COLOR', '20Static Mode', '5V', '20Dynamic/Static Modes', '3 Keys Controller', 'On/Off', 'Battery Box Putting 3 Pcs AA', '1.5 Vbatteries(NOT included)', '4Pin connect battery powered controller']"
7105,"['THE', 'ORIGINAL', '7c BCAA', '3.5G 0F LEUCINE', ""MUSCLE RECOVERY' +"", 'ELECTROLYTES', 'FOR MUSCLE PROTEIN', 'SYNTHESIS', 'STRAWBERRY KIWI SPLASH', 'OCALORIESOsCARBOGSUGAR', '30SERVINGS', 'DIETARY SUPPLEMENTNET WT.420g [14.80z]', '*Per Servi']"
7106,"['sunlite', 'LAMP', 'CAUTION', 'HIGH POWER FACTOR', '40205-SUSB/259/MV', 'CLASS P', ""NO PCB'S"", 'LAMP', 'LISTED', 'DISCONNECT LINE VOLTAGE BEFORE INSTALLING', 'SOUND RATING A', 'TYPE 1OUTDOOR', 'WHITE', 'RED]', 'E318628', 'BALLAST', 'OCV1000V', 'TYPE HL', 'BLACK', 'BLUE', 'BL', 'MEETS FCC 18 NON-CONSUMER', 'Sunlite Manufacturing', '120-277V 60Hz', 'INHERENTTHERMAL PROTECTION', 'BrooklynNY 11231', 'Made in China', '5370340205']"
7107,"['12.5cm', '22cm']"
7108,"['8.1in', '5.7in', 'Product information', 'Name:urns', 'Overall size:8.1in*5.7in', 'Material: stainless steel', 'weight:0.88lb', 'capacity:158 cubic inches', 'manual measurementthere may be a deviation']"
7109,['20.8cm/8.2in']
7110,"['PRODUCT', ' SIZE', '14cm / 5.5in', '24cm / 9.43in']"
7111,"['Seat Cushion', 'Construction', 'Down Feathers', 'Memory Foam', '2.25lbs High Density Foam', 'Pocketed Coils', '1.80lbs Density Foam']"
7112,"['Who can take', 'DIPYA', 'VEDISTRY', 'APPETIZER', 'An individual struggling with.', 'Low body weight', 'Vedistry', 'Poor digestion', 'DIPYA', 'APPETIZER', 'Lack of taste', 'SYRUP', 'AYURVEDIC', 'APPETITE', 'Loss of appetite due to indigestion', 'BOOSTER', '200ml', 'Loss of appetite due to illness or old age']"
7113,"['Datos tecnicos', 'Medidas (Largo x Ancho x Alto): 128O x 1O2 x 56 mm', 'Potencia: 36 W.', 'Flujo Iuminoso: 4.320 Iumenes', 'Temperatura de color: 4.OooK, blanca neutra.', 'Angulo del haz: 120', 'Indice de reproduccion cromatica (CRl): >80', 'Tipo de conexion: G13.', 'Voltaje nominal: 220-240 V', 'Modo de conexion: regleta electrica de presior.', 'Grado de proteccion: IP65', 'Proteccion contra impactos: IK08.']"
7114,"['Charger Replaces the following original Types', 'HP 0957-2286,0957-2290,0957-2398', 'Compatible with the following modle:', 'HP Printers 1050 20502060 20002515', 'HP 25122514 300030553054 3055A', 'HP1050A 1051 105510562051251125122514All InOne', 'J611GS02J110AJ611AJ611BJ510KALLINONE', 'HP OfficeJe J110J410 J410gJ410h J510J510a 3055 3515 ALL IN ONE', 'HP DeskJet 2515251635153516 3050A3051A3052A 3054A3055A', 'HP Deskjet100010101050151015122540', 'Hp deskjet 1055 2000 3000', 'Hp deskjet 1000 all in one', 'HP deskjet 2050 all in one']"
7115,"['purneL', '250W HUB MOTOR', 'Max Speed 25 km/h']"
7116,"['100KG', 'Max User Weight', '10.5KG', 'Net Weight']"
7117,"['ATU-100-0A :1.8-55MHz Automatic Antenna Tuner', 'TUNE', 'USB', 'Charge', 'SZ-PLZCO.LTD']"
7118,"['Technical specifications', 'Available colors', 'CARRY-ON', 'H18xW13.5xD:8in+2inD', '2,9 kgs-6,4 Ibs', 'Meets carry-on requirements for most airlines', '24""LUGGAGE', 'H:26,25 xW:18x D:9 in+2 in', '3,8 kgs -8,4 Ibs', 'Must be checked on most planes', '28""LUGGAGE', 'H:30xW:20 x D:10.5 in + 2 in<', '4,7 kgs -10,4 lbs', 'Must be checked on most planes']"
7119,"['trace', 'minerals', 'ConcenTrace', 'Trace', 'Mineral', 'Drops', 'Natural source of magnesium', 'and other minerals', 'Magnesium contributes toa', 'IONENFORMABSORBIERT', 'B S Z0 99 %', 'FOOD SUPPLEMENT237ml']"
7120,"['Receive Size', 'Happy Birthday', '5ft', '150cm', '7ft', '210cm']"
7121,['P08']
7122,"['54CM', '180CM', '100CM']"
7123,"['Net Weight 50gm', 'Date of Manufacture:', 'fssal', '22219046002423']"
7124,"['1203', 'X=if107.5cm', '27.5cm', '45cm', '35cm', 'I']"
7125,"['PRODUCT SIZE', '11.0 in / 28.0 cm', '11.8 in / 30.0 cm']"
7126,"['Typical nutritional values of an infusion', 'per 100ml', 'per225mlserving', 'Energy', '41J', '1kcal', '9kJ', '2 kcal', 'Fat', 'Og', '0g', 'of which saturates', 'Og', 'Og', 'Carbohydrate', '0.3g', '0.7g', 'of which sugars', 'Og', 'Og', 'Protein', 'Og', 'Og', 'Salt', 'Og', 'Og', 'Vitamin B6', '0.20mg', '0.47mg', '14%of NRV)', '33% of NRV)*']"
7127,"['20.5cm/8.07in', '20.8cm8.18in', '28.8cm/11.33in']"
7128,"['LiquidHealth', 'Promotes detoxification', 'Supports thyroid health', '&encourages normal', 'hormone balance""', 'Nascent', 'Immune system support""', 'Iodine', 'USDA', 'ORGANIC', 'ORGANIC', 'LIQUID DROPS', 'pure & vegan', 'LiquidHealth', 'Supports thyroid, mood,', 'detoxification & more', 'ADEIN', 'Nascent', 'lodine', 'ORGANIC', 'LIQUID DROPS', 'pure & vegan', 'USDA', 'ALCOHOL', 'ORGANIC', 'USDA', 'FREE', 'ALCOHOL', 'ORGANIC', 'FREE', '""These statements have not been', 'NO FLAVOR', '2fl.oz.160mL', 'evaluated by the FDAThis product', 'NO FLAVOR', 'ADDED', 'Dietary Supplement', '2 fl.oz.160 mL', 'is adiey suppleet andis not', 'ADDED', 'i t cre', 'Dietary Supplement', 'or prevent any disease']"
7129,"['4.24in/10.8cm', '2.87in/7.3cm']"
7130,"['Product information', 'Pb', 'SSS', 'O)', 'LEAD-FREE DISHWASHER', 'MICROWAVE', 'FREEZER', 'OVEN', 'SAFE', 'SAFE', 'SAFE', 'SAFE', '14.17 inch', '7.08 inch', '0.98 inch']"
7131,"['35.8in/910mm', '4.72in/120mm', '3.5in/90mm']"
7132,"['Point 2', '2', 'W', '8mm', '2', '100mm', '*2', '-', 'PLUS']"
7133,"['PREMIOM FABRIC', '72inch', '13inch-']"
7134,"['T', '18""', '8""', '24""', 'L', 'Outer Size: 24""x18""x8""', 'For pets up to 25lbs']"
7135,"['50W LED Flood Light', 'AC220-240V', 'K', '6500K', 'CRI', '>80Ra', 'IP65', '4500lm']"
7136,"['BISCUIT', 'COOKIE', 'BISCUIT', 'COOKIE', 'TIAROMA', 'DARK CHOCOLATE TOPPED', 'OMA', 'BISCUIT', 'COOKIE', 'TIAROMA', 'BISCUIT', 'COOKIE', 'TIAROMA', 'ROMA', 'BISCUIT', 'TIAROMA', 'COOKIE', 'DARK CHOCOLATE TOREE', 'TIAROMA', 'XNET WT2.4OZ(68g Each', '172']"
7137,"['EASY TO', 'INSTALL AND USE', '2', '0~']"
7138,"['35cm/13.7in', '8cm/3.1in', '14.5cm/5.71n']"
7139,"['34A', '/m', '10']"
7140,"['LAROCHE-POSAY', 'LABORATOIRE DERMATOLOGIQUE', 'EFFACLAR', 'DUO', 'de feau themale de La Roche Po', 'SOIN', 'ANTI-IMPERFECTIONS', 'CORRECTEUR', 'DESINCRUSTANT', 'ANTI-MARQUES', 'CORRECTIVE', 'UNCLOGGING CARE', 'ANTI-IMPERFECTIONS', 'ANTI-MARKS', 's paraben/paraben-free', '40ml.Made in France']"
7141,"['2 Pack Outdoor Lights', 'Recommended Bulbs', '(Need 4 bulbs, not included)', 'LED Bulb', 'CFL Bulb', 'Incandescent', 'SmartBullb', 'Bulb', 'E26 Base', '110-120V', 'Max60w']"
7142,"['157cm', '115', 'KG', 'Max User Wt.', 'TDA-230', '125cm', '71cm']"
7143,"['8.3 inch', 'GOLD ARMOUR', 'BLANKET', '15.7 inch', 'ONLY 26.5 oz', 'ZO']"
7144,"['9.2cm/3.6in', '7.5cm/2.9in', '19.2cm/7.5in', 'eyeglass', '18 built-in', 'LED lights', 'Battery', 'Touch the button,', 'display', 'three modes']"
7145,"['3 schaltstufen zur.', 'leistungsregelung', 'Fur die meisten Ein- und.', 'Zweifamilienhauserist diese', 'Leistunq volliq ausreichend - die', 'Pumpe kann Wasser bis zu einer', 'Forderhohe von 4 Metern', 'pumpen.', 'Leistung der', 'Pumpe:', '38 W', 'ikedler', 'MODEL:RH25-60/180', '230V/50Hz', 'H(MP.W', '53 W', '72', '53', 'Max10bar', '3', '38', '72 W', 'PRODUCTION DATEDATE:09-2018', 'CE']"
7146,"['AIRAJ', '20mm', '7.5inch', '2inch']"
7147,"['2.0 in / 5.1 cm', '6.72 in / 17 cm']"
7148,"['HIGHSPEED', 'BRUSHLESSMOTOR', 'M', '800', 'Watts', '20', 'mph', 'Average out put', 'Average speed', '30', '1000', 'mph', 'Watts', 'Maximum speed', 'Maximum', 'CST', '48V', '750W']"
7149,"['One Grid One Thing &', 'Classified storage', 'Neat and orderly']"
7150,"['Eco-friendly', 'Eco-responsable', 'entreprise', 'certifiee', 'CERTIFIE', 'carbonzero', 'climatesmart', 'CERTIFIED', 'certified', 'CZC-1518-0202-2021', 'business', 'Webber Naturals is carbon-neutral and', 'committed to sustainable manufacturing', 'Webber Naturals est une enterprise carboneutre et nous', 'faisons appel a des methodes de fabrication durable']"
7151,"['8H41721', '3', 'MONTHS', 'NG', 'WARRANTY', 'MBLEDINVIETNAM', '1241-2014.68/T18287-2013', 'NominaVage/3.85V=', 'ChargeVoage/4.4=', 'Capacity/3500mAh13.48', 'MH29634', 'CE', '11CP6/46/87', 'ModelEB-BG955ABE', 'Warning:Do not disassemble,crush,puncture,heal', 'burn or reuse Authorized Service Provider Only']"
7152,"['1.26 in / 3.2 cm', '1.38 in / 3.5 cm']"
7153,"['5cm', '2.5cm', '40.48cm', '9.8cm', '5.9cm', '2.5cm', '11.9cm', '40.48cm', '6.78cm', '2.5cm', '40.48cm', '14cm']"
7154,"['SUITABLE FOR 99% HOLE', 'DIAMETERFROM1.06""-1.46""', 'Hole diameter', 'Hole diameter', '1.06""-1.26""', '1.27""-1.46""']"
7155,"['4.72 in', 'SIZE', 'VOLTAGE: 110-240v', '47.24 in', 'Adjustable Range', 'WATTAGE: 60w(max)', 'LAMP BASE: E12*1pcs', 'MATE RIAL: Metal & Crystal', '11.02 in', 'FINISHE: Golden', 'Bulb Not Included.', '9.05 in']"
7156,"['S0X', '90X', '100X', '110X', '120X', 'ZOOM', '170mm', 'FOCUS', 'BU-120M', '80X-120X', '30mm', '50mm']"
7157,"['3,00m', '3,00m', '2,50m', '6,00m']"
7158,"['length:16cm+7cm', 'weight:3.86g/pcs']"
7159,"['DODGE FITMENT DETAILS:', 'DODGE', '2002-2008 Dodge Ram 1500Do0rHandle', '2003-2009 Dodge Ram2500 Do0r Handle', '2003-2009 Dodge Ram 3500Do0r Handle']"
7160,"['750W', 'POWERFUL', 'MOTOR', 'SHIMANO7', 'STABLE', 'SPEED', 'SPEEDGEARS', 'OUTPUT', 'ADJUSTABLE']"
7161,"['4.5 ""', '5.9', '9.8', '7.1', 'Size:', 'Box 4.5*9.8*7.1 InchesWith Handle 5.9*9.8*7.1Inches', 'Box11.5*25*18 cmWith Handle15*25*18cm', 'Weight:', '0.89Lb/400g']"
7162,"['Product packaging details', 'SN50T6cyclone', 'Specifications', 'Mode!', 'SN50T6', 'Matching power', '750w', '40x64Hoop', 'Supporting wind', 'Matching air', '2kpa', '80m/h', 'pressure', 'volume', 'Size', '190*165*320mm', 'Weight', '550g', 'M5 Spiral pair']"
7163,"['FILLRITE', '+FLOW', 'TURN OFFPEW', '419971-300151909', 'DEF', 'FILL-RITE', '8i', 'PILLRITE.CO', '*PRODUCT SHOWN IN PICTURE MAY NOT BE EXACT ACCESSORY CONFIGURATION']"
7164,"['Information', 'Perimeter : 24cm', '15mm', 'Type 2 Diabetes', 'ICD MOM 123 456 7890', 'ICDDAD 123456 789093', 'Type 2 Diabetes', '45mm', 'ICD MOM 123456 7890', 'ICD DAD 123456 789093', 'Engraving Here', 'Weight : 23g', 'Material : Stainless Steel . Silica gel', 'Notice:Manual measurement,there may be a little tiny difference!']"
7165,"['FOUR COLORS OPTIONAL', 'Product parameters', 'Product size:81x81x145mm', 'Product weight:185g', 'direct spary:75ml/h', 'Power:2.5W', 'Main material:ABS/PP/Silica gel', 'Electronic component']"
7166,"['MADE IN USA', 'travel tray.us', 'Insert Travel Tray into your standard cup holder so you', 'have a place for food drink toys.phone ond occessories.', 'Use narscrsesoosru', 'chairs..anywhere o standord cup holder is utilized', '702', '199 g']"
7167,"['MAIL', '25.4cm', '10.16cm', '25.4cm']"
7168,"['6.4 in / 16.5 cm', '4.3 in / 11 cm']"
7169,"['WEIGHT:0.35kg/O.77Ib', 'Fit for A4/Tablet/Folder', 'ONE', '37cm/', '14.6in', '10cm/', '3', '27cm/10.6in', '9in']"
7170,"['O)na', ' natural e', 'Multi', 'emium', '0 natural elen', 'Omega3', 'L-Arginin', '4500', 'MSM', 'Methyl', 'sulfonyl', 'methan', 'Mehr fur', 'Power-', 'menschen', 'oxid', 'Omega3', 'aus Fischol', 'Entdecke alle Produkte', 'Vitamin', 'D3/K2', 'fur Korper und Geist', 'von natural elements']"
7171,"['E27 Waterproof Lamp Holder Chandelier', '(Bulb not included).', '10M', '10D', 'E27', 'IP54', '50cm', '100cm', '30cm', '50cm', 'Collegabile con altri su', '100M pari a 1000W', 'RECOMMENDED LED S14 BULD']"
7172,"['3.32', '28']"
7173,"['Inner Diameter: 60 mm; 2.43 inch', 'Inner Diameter: 60 mm; 2.43 inch', 'Height:15 mm;O.59 inch', 'Height:8 mm;O.31 inch', 'Circumference:188.4 mm7.41inch', 'Circumference:188.4 mm7.41inch', 'Model:653145-11101', 'Model: 413085-11312']"
7174,"['NEW', 'CENTURY', 'Vita', 'oy', 'Gummies', 'Extra Strength', 'B-12', '3000mcg SERVING', 'ENERGY SUPPORT*', 'Energy', 'Raspherry', '90', 'Support', 'IN 2 DELIC|OUS', 'RASPBERRY', 'FLAVORED', 'GUMMIES', 'COLORS', '*THIS STATEMENT HAS NOT BEEN EVALUATED BY THE FOOD AND DRUG ADMINISTRATION', 'THIS PRODUCT ISNOT INTENDED TO DIAGNOSE, TREAT, CURE,OR PREVENT ANY DISEASE']"
